"","DayNum","Weekday","Month","DayM","MaxTemp","MeanTemp","MinTemp","Rainfall","Cloudiness","Events","Holiday","Total","TotalNum"
"2",1,4,1,1,14,9,4,0,0,"","Federal",0.358,3912
"289",2,5,1,2,14,9,4,0,0,"","",0.337,3682
"525",3,6,1,3,16,11,6,0,0,"","",0.44,4811
"613",4,0,1,4,17,11,6,0,0,"","",0.387,4233
"897",5,1,1,5,27,19,11,0,0,"","",0.446,4879
"1185",6,2,1,6,30,21,13,0,0,"","",0.416,4553
"1473",7,3,1,7,27,20,13,0,0,"","",0.427,4667
"1761",8,4,1,8,21,17,12,0,0,"","",0.45,4922
"2076",9,5,1,9,21,17,13,0,0,"","",0.488,5334
"2443",10,6,1,10,16,14,12,14.48,6,"Rain","",0.554,6064
"2564",11,0,1,11,17,15,13,13.72,7,"Rain","",0.528,5773
"2933",12,1,1,12,18,14,12,0,4,"","",0.478,5227
"3137",13,2,1,13,18,15,12,0,2,"","",0.466,5097
"3420",14,3,1,14,22,16,9,0,0,"","",0.431,4719
"3947",15,4,1,15,24,17,11,0,0,"","",0.438,4795
"3987",16,5,1,16,24,17,11,0,0,"","",0.425,4653
"4266",17,6,1,17,26,18,11,0,0,"","",0.256,2803
"4308",18,0,1,18,21,17,12,0,0,"","",0.292,3193
"4596",19,1,1,19,19,14,11,0,2,"","Federal",0.333,3645
"4881",20,2,1,20,16,14,12,0,8,"Fog","",0.487,5331
"5165",21,3,1,21,18,16,13,0,3,"","",0.453,4951
"5477",22,4,1,22,24,17,9,0,0,"","",0.452,4946
"5843",23,5,1,23,23,17,11,0,0,"","",0.421,4608
"5970",24,6,1,24,26,19,13,0,0,"","",0.214,2346
"6053",25,0,1,25,28,20,12,0,0,"","",0.235,2572
"6327",26,1,1,26,26,20,14,2.29,5,"Rain","",0.521,5703
"6612",27,2,1,27,21,17,13,0.25,2,"","",0.491,5370
"6894",28,3,1,28,23,18,14,0,0,"","",0.479,5236
"7183",29,4,1,29,24,20,17,0,2,"Rain","",0.509,5567
"7453",30,5,1,30,22,18,14,0,4,"Rain","",0.481,5265
"7692",31,6,1,31,19,17,14,0,4,"","",0.364,3978
"7792",32,0,2,1,22,16,10,0,0,"","",0.528,5781
"8330",33,1,2,2,21,16,11,0,1,"","",0.512,5597
"8362",34,2,2,3,18,13,9,0,3,"Fog","",0.493,5391
"8642",35,3,2,4,18,16,13,0,4,"","",0.452,4949
"9008",36,4,2,5,20,16,11,0,3,"Fog","",0.482,5270
"9164",37,5,2,6,19,16,12,0,3,"Fog","",0.449,4908
"9451",38,6,2,7,18,15,12,0,7,"Rain","",0.445,4871
"9737",39,0,2,8,22,19,16,0,4,"Fog","",0.331,3618
"10025",40,1,2,9,21,17,14,0,1,"Fog","",0.469,5132
"10290",41,2,2,10,22,18,13,0,0,"","",0.481,5266
"10570",42,3,2,11,29,21,14,0,0,"","",0.44,4818
"10852",43,4,2,12,29,22,15,0,0,"","",0.433,4736
"11156",44,5,2,13,31,23,15,0,0,"","",0.386,4223
"11396",45,6,2,14,29,21,14,0,0,"","Hallmark",0.17,1865
"11458",46,0,2,15,23,18,13,0,1,"","",0.182,1987
"11745",47,1,2,16,18,16,13,0,5,"","Federal",0.268,2933
"12032",48,2,2,17,19,17,13,0,3,"","",0.474,5189
"12319",49,3,2,18,20,17,13,0,3,"","",0.413,4518
"12605",50,4,2,19,19,17,14,0,4,"","",0.402,4402
"12888",51,5,2,20,19,17,14,0,4,"","",0.399,4363
"13174",52,6,2,21,19,17,14,0,6,"","",0.33,3616
"13462",53,0,2,22,18,14,12,0,8,"Rain-Thunderstorm","",0.537,5879
"13750",54,1,2,23,17,13,10,0,3,"Rain-Thunderstorm","",0.466,5103
"14065",55,2,2,24,23,16,9,0,0,"","",0.451,4930
"14351",56,3,2,25,21,16,10,0,0,"","",0.41,4484
"14898",57,4,2,26,18,14,10,0,0,"","",0.469,5131
"14899",58,5,2,27,18,15,12,0,6,"","",0.526,5759
"15186",59,6,2,28,18,14,12,0.25,6,"Rain","",0.437,4779
"15474",60,0,3,1,18,14,11,65.79,7,"Rain-Thunderstorm","",0.5,5473
"15762",61,1,3,2,16,12,8,0.25,3,"","",0.483,5283
"16049",62,2,3,3,17,13,9,0.25,1,"Rain","",0.456,4984
"16337",63,3,3,4,21,14,8,0,0,"","",0.475,5197
"16568",68,1,3,9,19,16,13,0,4,"","",0.403,4409
"16724",69,2,3,10,22,17,13,0,3,"","",0.405,4432
"17009",70,3,3,11,23,19,16,0,2,"","",0.399,4361
"17295",71,4,3,12,29,21,15,0,0,"","",0.362,3956
"17582",72,5,3,13,31,24,19,0,0,"","",0.328,3585
"17865",73,6,3,14,34,26,18,0,0,"","",0.143,1563
"18240",74,0,3,15,33,26,21,0,0,"","",0.195,2131
"18447",75,1,3,16,31,24,18,0,0,"","",0.367,4012
"18708",76,2,3,17,27,21,17,0,0,"","",0.377,4121
"18996",77,3,3,18,23,20,17,0,3,"","",0.41,4490
"19278",78,4,3,19,21,18,15,0,4,"","",0.42,4596
"19561",79,5,3,20,22,18,15,0,5,"","",0.384,4197
"19849",80,6,3,21,21,19,17,0,5,"","",0.244,2668
"20125",81,0,3,22,20,17,15,0,4,"","",0.303,3315
"20413",82,1,3,23,21,17,13,0,1,"","",0.425,4648
"20691",83,2,3,24,23,18,13,0,0,"","",0.391,4276
"20979",84,3,3,25,24,19,16,0,0,"","",0.389,4252
