Year,Month,DayM,EpochTime,DayNum,Weekday,Hour,Minute,BeachHouse,Civic,Library,Lot1N,Lot3N,Lot4S,Lot5S,Lot8N,Pier,Struc1,Struc2,Struc3,Struc4,Struc5,Struc6,Struc7,Struc8,Struc9,Total,Max.TemperatureC,Mean.TemperatureC,Min.TemperatureC,CloudCover,Events,RainfallIn
2014,11,10,11/10/2014 2:00,314,1,2,0,1,0.925,0.976,0.935,0.708,0.635,0.601,0.991,0.965,0.991,0.953,0.947,0.962,0.958,0.92,0.998,0.891,0.851,0.88,20,18,17,6,,0
2014,11,10,11/10/2014 3:00,314,1,3,0,1,0.945,0.976,0.947,0.708,0.637,0.601,0.991,0.969,0.991,0.956,0.959,0.974,0.961,0.924,1,0.896,0.851,0.886,20,18,17,6,,0
2014,11,10,11/10/2014 4:00,314,1,4,0,1,0.945,0.976,0.943,0.708,0.637,0.601,0.991,0.976,0.988,0.956,0.953,0.973,0.961,0.929,0.998,0.894,0.851,0.885,20,18,17,6,,0
2014,11,10,11/10/2014 5:00,314,1,5,0,1,0.93,0.97,0.972,0.708,0.635,0.601,0.972,0.969,0.962,0.953,0.985,0.971,0.96,0.946,0.995,0.903,0.845,0.888,20,18,17,6,,0
2014,11,10,11/10/2014 6:00,314,1,6,0,0.993,0.867,0.97,0.947,0.708,0.628,0.597,0.968,0.949,0.927,0.938,0.929,0.956,0.933,0.936,0.983,0.894,0.814,0.87,20,18,17,6,,0
2014,11,10,11/10/2014 7:00,314,1,7,0,0.993,0.73,0.94,0.936,0.699,0.601,0.581,0.963,0.933,0.897,0.873,0.876,0.918,0.903,0.88,0.943,0.876,0.747,0.833,20,18,17,6,,0
2014,11,10,11/10/2014 8:00,314,1,8,0,0.989,0.451,0.835,0.894,0.632,0.548,0.563,0.963,0.913,0.839,0.783,0.814,0.806,0.838,0.855,0.915,0.858,0.584,0.766,20,18,17,6,,0
2014,11,10,11/10/2014 9:00,314,1,9,0,0.959,0.39,0.68,0.811,0.877,0.787,0.906,0.963,0.874,0.669,0.562,0.599,0.639,0.772,0.751,0.842,0.814,0.5,0.744,20,18,17,6,,0
2014,11,10,11/10/2014 11:00,314,1,11,0,0.793,0.227,0.346,0.618,0.848,0.503,0.897,0.935,0.685,0.358,0.273,0.26,0.412,0.531,0.584,0.656,0.604,0.277,0.543,20,18,17,6,,0
2014,11,10,11/10/2014 12:00,314,1,12,0,0.756,0.199,0.288,0.518,0.81,0.446,0.872,0.912,0.516,0.246,0.184,0.147,0.303,0.419,0.493,0.48,0.433,0.247,0.452,20,18,17,6,,0
2014,11,10,11/10/2014 13:00,314,1,13,0,0.763,0,0.278,0.443,0.807,0.397,0.858,0.917,0.366,0.147,0.173,0,0.241,0.367,0.485,0.342,0.345,0.209,0.387,20,18,17,6,,0
2014,11,10,11/10/2014 14:00,314,1,14,0,0.8,0,0.278,0.357,0.797,0.338,0.846,0.912,0.264,0.173,0.304,0.027,0.233,0.298,0.502,0.284,0.279,0.26,0.367,20,18,17,6,,0
2014,11,10,11/10/2014 15:00,314,1,15,0,0.911,0,0.342,0.366,0.786,0.313,0.841,0.907,0.244,0.238,0.363,0.059,0.262,0.316,0.535,0.319,0.345,0.348,0.392,20,18,17,6,,0
2014,11,10,11/10/2014 16:00,314,1,16,0,1,0,0.398,0.363,0.788,0.29,0.84,0.912,0.358,0.185,0.449,0.08,0.319,0.376,0.602,0.365,0.354,0.432,0.42,20,18,17,6,,0
2014,11,10,11/10/2014 17:00,314,1,17,0,0.989,0.119,0.498,0.421,0.805,0.332,0.806,0.907,0.449,0.138,0.485,0.103,0.354,0.412,0.596,0.401,0.361,0.517,0.453,20,18,17,6,,0
2014,11,10,11/10/2014 18:00,314,1,18,0,0.952,0.348,0.598,0.521,0.903,0.41,0.834,0.926,0.524,0.22,0.468,0.115,0.45,0.458,0.552,0.416,0.389,0.676,0.513,20,18,17,6,,0
2014,11,10,11/10/2014 19:00,314,1,19,0,0.856,0.454,0.709,0.612,0.922,0.526,0.829,0.94,0.606,0.255,0.437,0.074,0.479,0.458,0.51,0.383,0.398,0.709,0.543,20,18,17,6,,0
2014,11,10,11/10/2014 10:00,314,1,10,0,0.889,0.27,0.492,0.728,0.848,0.618,0.912,0.954,0.76,0.481,0.361,0.407,0.514,0.618,0.625,0.763,0.722,0.405,0.631,20,18,17,6,,0
2014,11,10,11/10/2014 21:00,314,1,21,0,0.959,0.583,0.885,0.756,0.937,0.663,0.829,0.954,0.764,0.516,0.643,0.218,0.527,0.555,0.66,0.567,0.575,0.861,0.673,20,18,17,6,,0
2014,11,10,11/10/2014 22:00,314,1,22,0,1,0.645,0.979,0.816,0.942,0.696,0.829,0.963,0.803,0.721,0.8,0.501,0.701,0.686,0.839,0.8,0.756,0.899,0.783,20,18,17,6,,0
2014,11,10,11/10/2014 23:00,314,1,23,0,1,0.696,1,0.872,0.942,0.717,0.829,0.977,0.858,0.889,0.883,0.729,0.831,0.825,0.938,0.928,0.832,0.966,0.856,20,18,17,6,,0
2014,11,10,11/10/2014 0:00,314,1,0,0,1,0.909,0.97,0.908,0.706,0.628,0.601,0.991,0.917,0.962,0.925,0.855,0.924,0.919,0.908,0.97,0.859,0.841,0.858,20,18,17,6,,0
2014,11,10,11/10/2014 1:00,314,1,1,0,1,0.921,0.976,0.925,0.708,0.634,0.601,0.991,0.945,0.974,0.943,0.906,0.941,0.948,0.917,0.986,0.882,0.845,0.872,20,18,17,6,,0
2014,11,10,11/10/2014 20:00,314,1,20,0,0.856,0.532,0.801,0.681,0.926,0.605,0.829,0.958,0.661,0.323,0.488,0,0.454,0.479,0.533,0.422,0.467,0.828,0.585,20,18,17,6,,0
2014,11,11,11/11/2014 3:00,315,2,3,0,1,0.797,1,0.972,0.942,0.77,0.827,0.972,0.949,0.991,0.974,0.979,0.974,0.978,0.983,1,0.888,0.983,0.928,19,18,17,8,,0
2014,11,11,11/11/2014 2:00,315,2,2,0,1,0.79,1,0.963,0.942,0.765,0.827,0.972,0.933,0.985,0.974,0.956,0.97,0.97,0.981,0.994,0.883,0.983,0.923,19,18,17,8,,0
2014,11,11,11/11/2014 0:00,315,2,0,0,1,0.749,1,0.92,0.942,0.742,0.829,0.977,0.874,0.938,0.935,0.885,0.915,0.898,0.976,0.974,0.865,0.973,0.895,19,18,17,8,,0
